SHIP_MODE,SEGMENT,COUNTRY,CITY,STATE,POSTAL_CODE,REGION,CATEGORY,SUB_CATEGORY,SALES,QUANTITY,DISCOUNT,PROFIT,PROFIT_MARGIN,DISCOUNT_AMOUNT,PROFIT_CATEGORY
First Class,Corporate,United States,Norwich,Connecticut,6360,East,Office Supplies,Paper,11.34,1,0.0,5.5566,49.00000000000001,0.0,LOW
Second Class,Home Office,United States,San Francisco,California,94110,West,Office Supplies,Art,87.92,4,0.0,26.376,30.0,0.0,LOW
Standard Class,Consumer,United States,San Francisco,California,94109,West,Furniture,Furnishings,37.05,3,0.0,16.302,44.0,0.0,LOW
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Technology,Phones,2.97,1,0.4,-0.6435,-21.666666666666664,1.1880000000000002,LOSS
Standard Class,Home Office,United States,Lorain,Ohio,44052,East,Office Supplies,Storage,27.44,2,0.2,2.401,8.75,5.488,LOW
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,1.08,3,0.8,-1.728,-160.0,0.8640000000000001,LOSS
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Appliances,7.96,2,0.8,-13.93,-175.0,6.368,LOSS
Standard Class,Home Office,United States,Los Angeles,California,90049,West,Office Supplies,Binders,140.736,8,0.2,52.776,37.50000000000001,28.147199999999998,LOW
Standard Class,Consumer,United States,Middletown,Connecticut,6457,East,Office Supplies,Storage,552.56,4,0.0,0.0,0.0,0.0,LOW
Standard Class,Consumer,United States,Los Angeles,California,90008,West,Furniture,Furnishings,25.11,3,0.0,6.5286,26.0,0.0,LOW
Second Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,29.78,2,0.0,8.0406,26.999999999999996,0.0,LOW
Second Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,677.58,3,0.0,176.1708,26.0,0.0,HIGH
Second Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,75.04,8,0.0,36.0192,47.99999999999999,0.0,LOW
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Technology,Machines,695.7,2,0.5,-27.828,-3.9999999999999996,347.85,LOSS
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,15.66,5,0.7,-12.528,-80.0,10.962,LOSS
First Class,Corporate,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Binders,28.854,6,0.7,-21.1596,-73.33333333333334,20.197799999999997,LOSS
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Art,47.82,3,0.0,14.346,30.0,0.0,LOW
Standard Class,Consumer,United States,Freeport,New York,11520,East,Office Supplies,Labels,13.05,5,0.0,6.003,46.0,0.0,LOW
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Appliances,93.78,2,0.0,36.5742,38.99999999999999,0.0,LOW
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Paper,47.18,7,0.0,23.59,50.0,0.0,LOW
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Art,19.68,6,0.0,5.7072,29.000000000000004,0.0,LOW
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,53.4,10,0.0,25.098,47.0,0.0,LOW
Standard Class,Consumer,United States,Lakeville,Minnesota,55044,Central,Office Supplies,Binders,35.88,6,0.0,17.2224,48.0,0.0,LOW
Second Class,Consumer,United States,Evanston,Illinois,60201,Central,Furniture,Chairs,258.279,3,0.3,-70.1043,-27.142857142857142,77.4837,LOSS
First Class,Corporate,United States,Arlington,Virginia,22204,South,Office Supplies,Storage,31.4,2,0.0,7.85,25.0,0.0,LOW
Standard Class,Corporate,United States,San Francisco,California,94109,West,Technology,Phones,183.96,5,0.2,20.6955,11.249999999999998,36.792,LOW
Standard Class,Corporate,United States,San Francisco,California,94109,West,Office Supplies,Paper,17.61,3,0.0,8.4528,48.0,0.0,LOW
Standard Class,Corporate,United States,San Francisco,California,94109,West,Furniture,Tables,300.904,1,0.2,11.2839,3.75,60.180800000000005,LOW
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,220.776,3,0.2,-44.1552,-20.0,44.15520000000001,LOSS
Same Day,Consumer,United States,Houston,Texas,77036,Central,Office Supplies,Storage,281.424,11,0.2,-35.178,-12.5,56.2848,LOSS
First Class,Consumer,United States,Louisville,Kentucky,40214,South,Office Supplies,Paper,79.14,3,0.0,36.4044,46.0,0.0,LOW
First Class,Consumer,United States,Fort Worth,Texas,76106,Central,Furniture,Furnishings,1.988,1,0.6,-1.4413,-72.5,1.1927999999999999,LOSS
Second Class,Consumer,United States,Los Angeles,California,90049,West,Furniture,Chairs,145.568,2,0.2,0.0,0.0,29.113600000000005,LOW
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,123.256,7,0.2,9.2442,7.5,24.651200000000003,LOW
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Paper,23.68,4,0.2,7.4,31.25,4.736,LOW
Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Technology,Phones,309.576,4,0.4,-56.7556,-18.333333333333332,123.83040000000001,LOSS
First Class,Corporate,United States,Tucson,Arizona,85705,West,Office Supplies,Binders,38.388,14,0.7,-25.592,-66.66666666666666,26.871599999999997,LOSS
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Machines,95.994,2,0.7,-63.996,-66.66666666666667,67.19579999999999,LOSS
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Accessories,239.952,6,0.2,-35.9928,-15.000000000000002,47.9904,LOSS
First Class,Corporate,United States,Tucson,Arizona,85705,West,Technology,Phones,201.584,2,0.2,15.1188,7.5,40.3168,LOW
First Class,Corporate,United States,Tucson,Arizona,85705,West,Furniture,Chairs,899.136,4,0.2,-146.1096,-16.25,179.8272,LOSS
First Class,Home Office,United States,Pico Rivera,California,90660,West,Furniture,Furnishings,145.9,5,0.0,62.737,43.0,0.0,LOW
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Furniture,Bookcases,590.058,7,0.7,-786.744,-133.33333333333334,413.0406,LOSS
Standard Class,Consumer,United States,Colorado Springs,Colorado,80906,West,Office Supplies,Art,14.04,3,0.2,1.5795,11.25,2.808,LOW
Standard Class,Home Office,United States,Clinton,Maryland,20735,East,Technology,Accessories,49.08,3,0.0,4.908,10.0,0.0,LOW
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Labels,29.6,2,0.0,14.8,50.0,0.0,LOW
Second Class,Consumer,United States,Vallejo,California,94591,West,Office Supplies,Binders,17.088,4,0.2,5.5536,32.5,3.4176,LOW
Standard Class,Consumer,United States,Provo,Utah,84604,West,Furniture,Tables,912.75,5,0.0,118.6575,13.0,0.0,HIGH
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Appliances,1089.75,3,0.0,305.13,27.999999999999996,0.0,HIGH
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Paper,447.84,8,0.0,219.4416,49.0,0.0,HIGH
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Art,16.4,5,0.0,4.264,26.000000000000007,0.0,LOW
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Technology,Phones,399.96,5,0.2,34.9965,8.75,79.992,LOW
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Storage,158.9,5,0.0,7.945,5.0,0.0,LOW
Second Class,Consumer,United States,Pleasant Grove,Utah,84062,West,Office Supplies,Binders,13.184,1,0.2,4.7792,36.25000000000001,2.6368,LOW
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Furniture,Furnishings,83.952,3,0.6,-90.2484,-107.50000000000001,50.371199999999995,LOSS
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,80.98,1,0.0,1.6196,1.9999999999999998,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,348.84,9,0.0,170.9316,49.00000000000001,0.0,HIGH
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Fasteners,9.45,5,0.0,0.189,2.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Furnishings,18.84,3,0.0,7.1592,38.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Furniture,Bookcases,239.98,2,0.0,52.7956,22.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Envelopes,167.96,2,0.0,78.9412,47.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,104.85,3,0.0,28.3095,27.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Technology,Phones,484.83,3,0.0,126.0558,26.0,0.0,HIGH
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,122.97,3,0.0,60.2553,49.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Storage,154.44,3,0.0,1.5444,1.0,0.0,LOW
Same Day,Home Office,United States,Smyrna,Georgia,30080,South,Office Supplies,Paper,342.37,7,0.0,160.9139,47.0,0.0,HIGH
First Class,Corporate,United States,Burlington,North Carolina,27217,South,Office Supplies,Art,9.552,3,0.2,1.5522,16.25,1.9104,LOW
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,652.45,5,0.5,-430.617,-66.0,326.225,LOSS
Standard Class,Corporate,United States,Aurora,Illinois,60505,Central,Furniture,Tables,66.645,3,0.5,-42.6528,-64.0,33.3225,LOSS
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Binders,17.216,4,0.2,6.0256,35.0,3.4432000000000005,LOW
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,11.56,2,0.0,5.6644,48.99999999999999,0.0,LOW
First Class,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,88.4,4,0.0,11.492,13.0,0.0,LOW
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Paper,6.48,1,0.0,3.1104,47.99999999999999,0.0,LOW
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Technology,Phones,21.8,2,0.0,6.104,27.999999999999996,0.0,LOW
Standard Class,Home Office,United States,Salem,Virginia,24153,South,Office Supplies,Envelopes,251.79,3,0.0,118.3413,47.0,0.0,HIGH
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Furniture,Tables,205.176,2,0.4,-58.1332,-28.33333333333334,82.0704,LOSS
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Paper,419.4,5,0.2,146.79,35.0,83.88,HIGH
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Supplies,10.304,1,0.2,-2.1896,-21.25,2.0608,LOSS
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Furniture,Tables,154.764,3,0.4,-36.1116,-23.333333333333332,61.90560000000001,LOSS
First Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Technology,Accessories,116.784,2,0.2,21.897,18.749999999999996,23.356800000000003,LOW
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Art,75.48,2,0.0,19.6248,26.0,0.0,LOW
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Furnishings,39.98,2,0.0,9.995,25.0,0.0,LOW
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Furniture,Tables,393.165,3,0.5,-204.4458,-51.99999999999999,196.5825,LOSS
Standard Class,Home Office,United States,Grand Prairie,Texas,75051,Central,Office Supplies,Labels,23.68,2,0.2,8.88,37.50000000000001,4.736,LOW
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,408.006,2,0.1,72.5344,17.777777777777782,40.8006,LOW
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Furnishings,165.28,4,0.0,14.8752,9.0,0.0,LOW
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,334.768,7,0.2,108.7996,32.5,66.9536,HIGH
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Technology,Accessories,239.97,3,0.0,26.3967,11.0,0.0,LOW
Second Class,Home Office,United States,Costa Mesa,California,92627,West,Furniture,Furnishings,37.74,3,0.0,12.8316,34.0,0.0,LOW
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Phones,946.344,7,0.2,118.293,12.5,189.26880000000003,HIGH
First Class,Corporate,United States,Houston,Texas,77041,Central,Technology,Accessories,151.2,3,0.2,32.13,21.250000000000004,30.24,LOW
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings,4.928,4,0.6,-1.4784,-30.0,2.9568,LOSS
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Paper,86.272,4,0.2,31.2736,36.24999999999999,17.2544,LOW
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,72.588,2,0.7,-48.392,-66.66666666666667,50.81159999999999,LOSS
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Appliances,60.672,2,0.2,14.4096,23.75,12.1344,LOW
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Binders,77.031,9,0.7,-59.0571,-76.66666666666666,53.9217,LOSS
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,119.904,6,0.2,-1.4988,-1.25,23.980800000000002,LOSS
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Technology,Phones,263.96,5,0.2,23.0965,8.75,52.792,LOW
Standard Class,Corporate,United States,Mesa,Arizona,85204,West,Office Supplies,Storage,363.648,4,0.2,-86.3664,-23.75,72.7296,LOSS
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,9.728,2,0.2,3.2832,33.75,1.9456,LOW
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Envelopes,14.75,5,0.0,7.08,48.0,0.0,LOW
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Binders,29.8,5,0.2,9.3125,31.25,5.960000000000001,LOW
Second Class,Corporate,United States,Salinas,California,93905,West,Office Supplies,Labels,427.42,14,0.0,196.6132,46.0,0.0,HIGH
Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Technology,Phones,220.752,8,0.4,-40.4712,-18.333333333333336,88.30080000000001,LOSS
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Binders,152.76,6,0.0,74.8524,49.00000000000001,0.0,LOW
Second Class,Consumer,United States,Florence,Alabama,35630,South,Office Supplies,Supplies,7.27,1,0.0,1.9629,27.0,0.0,LOW
Second Class,Consumer,United States,Florence,Alabama,35630,South,Furniture,Chairs,1819.86,14,0.0,163.7874,9.0,0.0,HIGH
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,33.9,5,0.0,15.594,46.0,0.0,LOW
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Paper,31.104,6,0.2,10.8864,35.0,6.2208000000000006,LOW
Standard Class,Consumer,United States,Parma,Ohio,44134,East,Office Supplies,Art,5.248,2,0.2,0.5904,11.25,1.0496,LOW
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Technology,Accessories,263.88,3,0.2,42.8805,16.25,52.776,LOW
Same Day,Consumer,United States,Amarillo,Texas,79109,Central,Furniture,Chairs,2453.43,5,0.3,-350.49,-14.285714285714288,736.0289999999999,LOSS
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Binders,29.7,5,0.0,13.365,45.0,0.0,LOW
Second Class,Consumer,United States,Providence,Rhode Island,2908,East,Office Supplies,Paper,39.96,4,0.0,17.982,44.99999999999999,0.0,LOW
Second Class,Consumer,United States,San Francisco,California,94110,West,Office Supplies,Binders,36.672,2,0.2,11.46,31.250000000000007,7.3344,LOW
First Class,Corporate,United States,Richmond,Kentucky,40475,South,Office Supplies,Paper,13.76,2,0.0,6.3296,46.0,0.0,LOW
Standard Class,Corporate,United States,Aurora,Colorado,80013,West,Office Supplies,Storage,139.424,4,0.2,17.428,12.5,27.884800000000002,LOW
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Technology,Phones,1979.928,9,0.2,148.4946,7.5,395.98560000000003,HIGH
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Office Supplies,Storage,164.736,4,0.2,-39.1248,-23.75,32.9472,LOSS
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Furniture,Chairs,470.302,7,0.3,-87.3418,-18.571428571428573,141.0906,LOSS
First Class,Home Office,United States,Chicago,Illinois,60653,Central,Technology,Phones,47.984,2,0.2,5.998,12.5,9.5968,LOW
First Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Binders,2.502,3,0.7,-1.7514,-70.0,1.7513999999999996,LOSS
Standard Class,Corporate,United States,Los Angeles,California,90008,West,Technology,Phones,88.752,3,0.2,11.094,12.5,17.7504,LOW
First Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Binders,2.025,1,0.7,-1.35,-66.66666666666667,1.4174999999999998,LOSS
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Paper,70.98,7,0.0,34.7802,49.0,0.0,LOW
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,91.68,3,0.0,45.84,50.0,0.0,LOW
First Class,Corporate,United States,Mobile,Alabama,36608,South,Office Supplies,Binders,33.75,5,0.0,16.875,50.0,0.0,LOW
First Class,Corporate,United States,Mobile,Alabama,36608,South,Technology,Machines,3040.0,8,0.0,1459.2,48.00000000000001,0.0,HIGH
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Binders,91.2,3,0.0,41.952,46.0,0.0,LOW
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,452.94,3,0.0,67.941,15.0,0.0,LOW
Standard Class,Corporate,United States,New Bedford,Massachusetts,2740,East,Office Supplies,Binders,52.2,9,0.0,23.49,44.99999999999999,0.0,LOW
Standard Class,Corporate,United States,Irving,Texas,75061,Central,Office Supplies,Labels,15.936,4,0.2,5.1792,32.5,3.1872000000000003,LOW
Same Day,Consumer,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,27.46,2,0.0,9.8856,36.0,0.0,LOW
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders,55.424,2,0.2,19.3984,35.0,11.084800000000001,LOW
Standard Class,Consumer,United States,Vineland,New Jersey,8360,East,Furniture,Tables,244.006,2,0.3,-31.3722,-12.857142857142856,73.20179999999999,LOSS
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Technology,Accessories,159.984,2,0.2,43.9956,27.500000000000004,31.996800000000004,LOW
First Class,Corporate,United States,Pasadena,Texas,77506,Central,Furniture,Chairs,1024.716,6,0.3,-29.2776,-2.857142857142857,307.41479999999996,LOSS
First Class,Corporate,United States,New York City,New York,10009,East,Office Supplies,Fasteners,3.68,2,0.0,1.8032,48.99999999999999,0.0,LOW
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Furniture,Furnishings,121.376,4,0.2,-3.0344,-2.5,24.2752,LOSS
Standard Class,Consumer,United States,Glendale,Arizona,85301,West,Technology,Accessories,95.976,3,0.2,-10.7973,-11.25,19.1952,LOSS
Same Day,Home Office,United States,Jacksonville,Florida,32216,South,Technology,Accessories,255.968,4,0.2,31.996,12.5,51.1936,LOW
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Furniture,Chairs,872.94,3,0.0,226.9644,26.0,0.0,HIGH
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Binders,41.54,2,0.0,19.5238,47.0,0.0,LOW
Standard Class,Corporate,United States,Detroit,Michigan,48234,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,47.99999999999999,0.0,LOW
Second Class,Corporate,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Art,6.848,2,0.2,0.5992,8.75,1.3696000000000002,LOW
Standard Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Labels,8.67,3,0.0,4.0749,47.0,0.0,LOW
Same Day,Consumer,United States,Houston,Texas,77036,Central,Furniture,Furnishings,6.688,4,0.6,-4.0128,-60.00000000000001,4.0127999999999995,LOSS
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Art,17.28,6,0.0,5.0112,28.999999999999996,0.0,LOW
Standard Class,Home Office,United States,Niagara Falls,New York,14304,East,Office Supplies,Binders,17.712,3,0.2,6.4206,36.25000000000001,3.5424,LOW
Standard Class,Home Office,United States,New York City,New York,10024,East,Office Supplies,Labels,28.91,7,0.0,13.2986,46.0,0.0,LOW
Standard Class,Consumer,United States,Thomasville,North Carolina,27360,South,Office Supplies,Supplies,52.136,7,0.2,5.8653,11.25,10.427200000000001,LOW
First Class,Consumer,United States,Westminster,California,92683,West,Technology,Phones,31.968,4,0.2,2.3976,7.500000000000001,6.3936,LOW
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,25.92,4,0.0,12.4416,47.99999999999999,0.0,LOW
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,40.46,7,0.0,19.8254,48.99999999999999,0.0,LOW
Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Storage,33.87,3,0.0,8.8062,26.0,0.0,LOW
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Art,9.728,2,0.2,1.7024,17.5,1.9456,LOW
Second Class,Consumer,United States,Jackson,Tennessee,38301,South,Office Supplies,Paper,3.424,1,0.2,1.07,31.25,0.6848000000000001,LOW
Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,177.0,3,0.0,30.09,17.0,0.0,LOW
Standard Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Fasteners,3.76,2,0.0,1.316,35.0,0.0,LOW
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Technology,Phones,1212.848,7,0.2,106.1242,8.75,242.5696,HIGH
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Technology,Accessories,89.97,3,0.0,37.7874,42.0,0.0,LOW
Standard Class,Home Office,United States,Los Angeles,California,90008,West,Furniture,Furnishings,42.6,3,0.0,16.614,39.0,0.0,LOW
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Labels,5.04,2,0.2,1.764,35.0,1.008,LOW
Second Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Envelopes,62.96,4,0.0,28.332,45.0,0.0,LOW
Standard Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,5.88,1,0.0,2.8812,49.00000000000001,0.0,LOW
Standard Class,Corporate,United States,New York City,New York,10035,East,Furniture,Chairs,977.292,6,0.1,173.7408,17.77777777777778,97.7292,HIGH
Standard Class,Corporate,United States,Vancouver,Washington,98661,West,Furniture,Furnishings,9.64,2,0.0,3.6632,37.99999999999999,0.0,LOW
Second Class,Consumer,United States,Columbus,Georgia,31907,South,Office Supplies,Art,40.05,3,0.0,11.214,28.000000000000004,0.0,LOW
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,10.192,7,0.2,3.185,31.25,2.0384,LOW
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Storage,16.784,1,0.2,-0.2098,-1.25,3.3568,LOSS
Standard Class,Consumer,United States,Coppell,Texas,75019,Central,Office Supplies,Art,13.12,5,0.2,3.772,28.749999999999996,2.624,LOW
First Class,Home Office,United States,San Francisco,California,94122,West,Office Supplies,Binders,18.16,5,0.2,6.583,36.25,3.632,LOW
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,16.056,3,0.2,5.8203,36.24999999999999,3.2112000000000003,LOW
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Paper,223.056,9,0.2,69.705,31.25,44.611200000000004,LOW
Standard Class,Consumer,United States,Austin,Texas,78745,Central,Office Supplies,Storage,540.048,3,0.2,-47.2542,-8.75,108.0096,LOSS
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Technology,Phones,33.52,2,0.2,3.352,10.0,6.704000000000001,LOW
Standard Class,Home Office,United States,Los Angeles,California,90045,West,Furniture,Furnishings,9.94,2,0.0,3.0814,31.0,0.0,LOW
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Office Supplies,Art,6.72,4,0.0,3.36,50.0,0.0,LOW
Standard Class,Home Office,United States,Los Angeles,California,90004,West,Furniture,Tables,1004.976,6,0.2,-175.8708,-17.5,200.9952,LOSS
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,17.88,3,0.2,5.5875,31.250000000000007,3.576,LOW
Standard Class,Consumer,United States,Columbus,Georgia,31907,South,Technology,Machines,396.0,4,0.0,190.08,48.00000000000001,0.0,HIGH
Same Day,Home Office,United States,Omaha,Nebraska,68104,Central,Office Supplies,Binders,34.5,3,0.0,15.525,45.0,0.0,LOW
First Class,Consumer,United States,Los Angeles,California,90036,West,Furniture,Furnishings,8.36,2,0.0,3.0096,36.0,0.0,LOW
Standard Class,Corporate,United States,Pomona,California,91767,West,Office Supplies,Art,385.6,8,0.0,111.824,28.999999999999996,0.0,HIGH
Standard Class,Corporate,United States,Pomona,California,91767,West,Office Supplies,Art,35.82,9,0.0,11.8206,33.0,0.0,LOW
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Storage,200.064,3,0.2,12.504,6.25,40.0128,LOW
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,21.38,5,0.8,-33.139,-155.00000000000003,17.104,LOSS
Standard Class,Consumer,United States,Dallas,Texas,75220,Central,Office Supplies,Binders,6.744,4,0.8,-11.4648,-170.00000000000003,5.3952,LOSS
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Chairs,63.686,1,0.3,-9.098,-14.285714285714288,19.1058,LOSS
Second Class,Consumer,United States,North Las Vegas,Nevada,89031,West,Furniture,Tables,1669.6,4,0.0,116.872,7.000000000000001,0.0,HIGH
Second Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,83.84,2,0.2,27.248,32.5,16.768,LOW
Second Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,13.272,3,0.2,4.3134,32.49999999999999,2.6544000000000003,LOW
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Binders,21.336,7,0.2,7.7343,36.25000000000001,4.2672,LOW
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Office Supplies,Art,16.52,5,0.2,2.065,12.5,3.3040000000000003,LOW
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Furniture,Furnishings,206.112,6,0.2,48.9516,23.75,41.2224,LOW
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,19.92,5,0.2,6.723,33.75,3.9840000000000004,LOW
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Paper,198.272,8,0.2,61.96,31.25,39.6544,LOW
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Storage,247.104,6,0.2,-58.6872,-23.75,49.42080000000001,LOSS
Standard Class,Consumer,United States,Tucson,Arizona,85705,West,Office Supplies,Art,86.304,6,0.2,9.7092,11.249999999999998,17.2608,LOW
Standard Class,Consumer,United States,Allentown,Pennsylvania,18103,East,Office Supplies,Art,4.16,2,0.2,0.364,8.75,0.8320000000000001,LOW
Standard Class,Consumer,United States,Allentown,Pennsylvania,18103,East,Furniture,Furnishings,11.648,2,0.2,3.3488,28.750000000000004,2.3296,LOW
